Section,Pattern,Period,Jugglers,Objects,Passes,Link
,[4p 3p] 2 3,3,2,8,2,
,4.5p [4 3] 2,3,2,9,1,
,[5p 4] [2 2] 2,3,2,10,1,
,[5p 4] 2 4,3,2,10,1,
,[6 4] 2 3p,3,2,10,1,
,[5.5p 3.5p] [2 2] 2,3,2,10,2,
,[5.5p 3.5p] 2 4,3,2,10,2,
,[6 4] 2 4.5p,3,2,11,1,
,[7p 5p] [2 2] 2,3,2,12,2,
"Section: 5 Jugglers, 15 to 25 Objects",,,,,,
,3p,1,5,15,1,
,3 3 3 3.8p,4,5,16,1,http://prech.ac/5:3333.8p
,3 3 3.6p,3,5,16,1,http://prech.ac/5:333.6p
,"(4p, 4p) (4, 4) (4, 4)",6,5,20,2,
,"(4p, 4p)",2,5,20,2,
,5p 3,2,5,20,1,
,5p 5 5 5 5 5 5 5,8,5,25,1,
"Section: 6 Jugglers, 20 to 33 Objects",,,,,,
,3 3.6p,2,6,20,1,http://prech.ac/6:33.6p
,3 3 3 4.3p,4,6,20,1,http://prech.ac/6:3334.3p
,3 4p,2,6,21,1,http://prech.ac/6:34p
,4 4 4p 3 3 3,6,6,21,1,http://prech.ac/6:444p333
,5 3 4p 3 3 3,6,6,21,1,http://prech.ac/6:534p333
,5p 3 3 3,4,6,21,1,http://prech.ac/6:5p333
,5p 3,2,6,24,1,
,"(4x, 4xp)",2,6,24,1,
,"(5p, 4x)",2,6,27,1,
,5p 5,2,6,30,1,
,6p 5,2,6,33,1,
"Section: French Section, Back to Back",,,,,,
,2 2 1p 3p,4,2,4,2,http://prech.ac/2:221p3p
,3 1 1p 3p,4,2,4,2,http://prech.ac/2:311p3p
,3 3 3 1p,4,2,5,1,http://prech.ac/2:3331p
,4 4 1 1p,4,2,5,1,http://prech.ac/2:4411p
"Section: 7 Jugglers, 21 to 28 Objects",,,,,,
,3 3 3 3p,4,7,21,1,
,3 3 3p,3,7,21,1,
,3 3p,2,7,21,1,
,3.5p 3 3 3,4,7,22,1,http://prech.ac/7:3.5p333
,"(4xp, 4xp) (4, 4) (4, 4)",6,7,28,2,
"Section: 10 Jugglers, 15 to 30 Objects",,,,,,
,3p 3 3 3,4,10,30,1,
,3 1 1p 1,4,10,15,1,http://prech.ac/10:311p1
,3p 1 1p 1,4,10,15,2,
"Section: Clubs & Rings, Numbers Patterns",,,,,,
,"(6xp, 4x)",2,2,10,1,
,5p 5,2,2,10,1,
,6 6 6 6 6 6 5p 5p 4 4 4 4 4 4,14,2,10,2,http://prech.ac/2:6666665p5p444444
,"(4, 4) (4, 4) (4, 4) (5p, 5p) (6, 6) (6, 6) (6, 6)",14,2,10,2,
,6p 5,2,2,11,1,http://prech.ac/2:6p5
,6 6 6 6 6p 5 5 5 5 5,10,2,11,1,http://prech.ac/2:66666p55555
,6p,1,2,12,1,
,"(6xp, 6x)",2,2,12,1,
,"< (6.5p, 6.5p) | (5.5p, 5.5p) >",4,2,12,4,
,7p 5,2,2,12,1,
,"(7p, 6x)",2,2,13,1,
,6.5p,1,2,13,1,http://prech.ac/2:6.5p
,7p 7,2,2,14,1,
