Section,Pattern,Period,Jugglers,Objects,Passes,Link
,2p 2p 1 3,4,2,4,2,http://prech.ac/2:2p2p13
,4p 1p 1 2,4,2,4,2,http://prech.ac/2:4p1p12
,4 1 1p 2p,4,2,4,2,http://prech.ac/2:411p2p
,4 2 1p 1p,4,2,4,2,http://prech.ac/2:421p1p
,3p 3 1 1p,4,2,4,2,http://prech.ac/2:3p311p
,4 2p 1 1p,4,2,4,2,http://prech.ac/2:42p11p
,3p 3p 1 1,4,2,4,2,http://prech.ac/2:3p3p11
,4p 2p 1 1,4,2,4,2,http://prech.ac/2:4p2p11
,3 3p 1p 1,4,2,4,2,http://prech.ac/2:33p1p1
,4p 2 1p 1,4,2,4,2,http://prech.ac/2:4p21p1
,3 3 1p 1p,4,2,4,2,http://prech.ac/2:331p1p
,4 2 1p 1p,4,2,4,2,http://prech.ac/2:421p1p
"Section: 2 Jugglers, 4 Objects, Period 3 & 5",,,,,,
,2.5p 2.5p 1,3,2,4,2,http://prech.ac/2:2.5p2.5p1
,2.5p 2 1.5p,3,2,4,2,http://prech.ac/2:2.5p21.5p
,2.5p 2 2.5p 1 2,5,2,4,2,http://prech.ac/2:2.5p22.5p12
,2.5p 3 1 1.5p 2,5,2,4,2,http://prech.ac/2:2.5p311.5p2
,0 0 1 1.5p 0,5,2,1,1,http://prech.ac/2:0011.5p0
,4 2.5p 0 2.5p 1,5,2,4,2,http://prech.ac/2:42.5p02.5p1
"Section: French Section, Minimal Rings",,,,,,
,1.5p,1,2,3,1,http://prech.ac/2:1.5p
,3p 2 0 1,4,2,3,1,http://prech.ac/2:3p201
,3p 2 2p 1,4,2,4,2,http://prech.ac/2:3p22p1
,2.5p,1,2,5,1,http://prech.ac/2:2.5p
"Section: 2 Jugglers, 4 Objects, Period 6",,,,,,
,3p 3p 3p 2 0 1p,6,2,4,4,http://prech.ac/2:3p3p3p201p
,3 3p 3p 1 2 0,6,2,4,2,http://prech.ac/2:33p3p120
